District,lat,lon,T2M,WS2M,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M_MAX,PS
MORBI,22.834967062395464,70.90350528859983,26.899521203830368,3.1674008207934334,2.2097195622435017,57.71616279069767,19.06455540355677,21.044206566347466,33.880738714090285,100.53020519835842
AHMAD>B>D,22.75691598346244,72.24363534665521,27.23670314637483,2.357147742818057,2.320813953488372,53.66264705882354,18.899767441860465,20.910198358413133,34.392619699042406,100.30073871409029
>NAND,22.42678793864573,72.7508601459049,27.22188098495212,2.466422708618331,2.5552462380300955,57.5273734610123,18.899767441860465,21.323543091655267,33.78520519835841,100.64378248974009
DEVBHUMI DW>RKA,22.123914780956227,69.4603591373011,26.30720930232558,3.6044596443228456,2.8582626538987688,69.09248290013679,19.57271545827633,22.572995896032833,31.192694938440493,100.62882352941178
J>MNAGAR,22.284991538930647,70.19515170389595,26.447277701778386,3.635608755129959,2.5891928864569085,66.31177838577293,19.06455540355677,22.465294117647062,31.408707250341998,100.56025991792066
KACHCHH,23.64974275624069,69.93992725525936,26.79070451436388,3.188030095759234,2.123946648426813,56.60842681258549,19.45280437756498,20.68639534883721,34.17555403556772,100.52309165526677
BH>VNAGAR,21.567254503012865,71.89080681818041,27.154103967168265,2.9297948016415867,2.7878112175102596,60.022250341997264,18.85596443228454,21.674028727770178,33.47853625170998,100.23816005471956
BHAR@CH,21.781624065338676,72.940812540979,27.190998632010942,2.5074350205198357,3.2206429548563613,59.412626538987695,18.793673050615595,21.53108071135431,33.96083447332422,100.39987004103968
S@RAT,21.268923129409657,73.07111363169007,27.209863201094397,2.5907729138166893,4.0431395348837205,61.59400820793434,18.265882352941176,21.813488372093023,33.906627906976745,100.36191518467852
NAVS>RI,20.815302270941157,73.0925564906339,27.13571135430917,2.589569083447332,4.7095827633378935,63.637147742818065,17.948372093023256,22.09749658002736,33.61632010943912,100.1897537619699
VALS>D,20.418149274718374,73.12012283350411,26.817373461012313,2.537400820793434,5.400683994528044,64.79396716826265,17.948372093023256,22.028727770177838,33.13917920656635,99.47615595075239
AGAR MALWA,23.8264903560167,76.07103372597189,25.693844049247605,2.3990424076607386,1.961751025991792,53.22313269493844,18.031812585499317,19.417749658002737,32.94330369357045,96.20974692202462
DISPUTED (RATLAM & MANDSAUR),23.80971153019704,75.34644874688922,25.21801641586867,2.518939808481532,2.3030232558139536,55.042749658002734,18.14000683994528,19.184952120383038,32.19640218878249,95.84700410396718
>GRA,27.036251249704435,78.07639755829535,26.060957592339257,1.8711149110807115,1.9329616963064293,50.19550615595075,16.89218878248974,19.91144322845417,32.96007523939808,98.92342681258549
AJMER,26.23349852846432,74.7730910181915,25.4002462380301,2.154418604651163,2.134452804377565,50.79753077975376,19.049521203830366,19.22107387140903,32.59894664842682,96.58380300957593
>LAPPUZHA,9.428386879727897,76.4470406206027,28.1040218878249,3.039603283173735,7.994295485636115,77.43531463748289,18.960075239398083,26.852393980848152,29.543166894664843,100.81978112175103
AL|GARH,27.92646471727385,78.06530052582329,25.320827633378936,1.9026812585499318,2.093043775649795,52.183522571819424,16.89218878248974,19.253864569083447,32.31833105335157,98.6476949384405
ALIRAJPUR,22.3144143884773,74.36388592877063,25.886497948016416,2.5577222982216146,2.823734610123119,58.049562243502045,18.09202462380301,20.085567715458275,32.68827633378933,97.49677154582766
DISPUTED (ALIRAJPUR & D>HOD),22.52505623910834,74.12285820298509,25.886497948016416,2.5577222982216146,2.823734610123119,58.049562243502045,18.09202462380301,20.085567715458275,32.68827633378933,97.49677154582766
ALMORA,29.690750859214408,79.50403861976437,19.960266757865934,1.4864158686730509,3.6042134062927493,59.99298221614227,17.49535567715458,15.194582763337893,26.139753761969903,89.05114227086183
ALWAR,27.590898560114233,76.60162733389168,25.696019151846787,1.8955950752393982,1.9136183310533517,49.07919288645691,17.21155950752394,19.601949384404925,32.9518878248974,97.90738030095761
AMBEDKARNAGAR,26.418558223580003,82.6661049048997,25.32033515731874,2.0101915184678525,2.87733926128591,60.01458960328318,16.08766073871409,19.808077975376197,31.701443228454174,99.71809849521203
AMETHI,26.323814983656806,81.66870404258094,25.194623803009577,1.9342270861833106,3.0518946648426817,59.99463748290014,16.573830369357044,19.68703146374829,31.505800273597814,99.59087551299591
AMROHA,28.835642179513126,78.3682464414417,24.641025991792066,1.8792886456908344,2.5715663474692203,55.63774281805746,16.646812585499315,18.76780437756498,31.635287277701778,98.27402872777019
ANANTAPUR,14.493042815078502,77.56697430158245,26.60966484268126,3.084794801641587,2.0942749658002735,64.10186046511627,19.366935704514365,21.246600547195623,32.9451367989056,95.85645690834474
ANUGUL,20.986354883243653,84.90520612227643,25.84413132694938,1.6223324213406292,3.968871409028728,69.20615595075239,16.814808481532147,20.779760601915186,31.566326949384404,98.47071135430916
ANUPPUR,23.056856074559203,81.68270598266201,23.530006839945283,1.7396922024623804,3.78422024623803,62.60049247606019,17.78885088919289,18.194158686730507,29.840458276333788,94.03935704514365
ARAVALLI,23.460769706618553,73.33305661510838,26.722694938440494,2.3884199726402193,2.322168262653899,52.86047879616963,18.88486320109439,20.593809849521204,33.756662106703146,99.03748974008208
ASHOKNAGAR,24.609384929195087,77.87535629725531,25.172051983584133,2.117701778385773,2.7195485636114913,55.86494528043776,18.088741450068397,19.22982216142271,32.03504103967168,96.14224350205198
AURAIYA,26.65817762529028,79.47911568818927,25.998385772913817,1.870971272229822,2.2268878248974007,52.49917920656634,17.347797537619698,20.00738714090287,32.61398084815321,99.21060875512997
AZAMGARH,26.045497868615737,83.0672963475505,25.527742818057455,1.9913337893296854,2.775027359781122,59.8838440492476,15.965759233926129,19.990465116279072,31.900622435020523,99.88691518467851
BUDAUN,28.077854455262276,79.04156956603121,25.247564979480167,1.9195690834473322,2.192127222982216,53.55106019151847,16.471190150478794,19.282749658002736,32.1050341997264,98.81637482900138
B>GALKOT,16.221360459676653,75.6255449828786,25.97439808481532,3.0053967168262656,2.067708618331053,62.367729138166894,18.640362517099863,20.460430916552667,32.59570451436388,94.3919972640219
B>GESHWAR,29.996404932500987,79.85893893017698,12.31827633378933,1.5795417236662106,3.224425444596443,62.40997948016415,17.49535567715458,7.330348837209302,18.36873461012312,77.02424760601914
B>GHPAT,29.056937143538395,77.3085079383365,24.577270861833107,1.8766894664842684,2.554487004103967,54.78151846785226,17.10236662106703,18.655861833105334,31.570068399452808,98.24286593707251
BAHRAICH,27.698229912293737,81.49280588055558,25.17688098495212,1.9430369357045145,3.2701162790697675,59.05699042407661,16.721662106703146,19.65916552667579,31.61764705882353,99.3791928864569
BALAGHAT,21.88079618699487,80.35983268845222,24.452770177838577,1.7612722298221615,4.12751025991792,62.0084610123119,17.5077975376197,18.94703830369357,30.874309165526675,94.73835157318742
BOLANGIR (BALANGIR),20.58942682201802,83.17165090848827,25.928693570451436,1.6740218878248974,3.568296853625171,65.71197674418605,17.089541723666212,20.584473324213405,31.841887824897398,97.9501025991792
BALASORE (B>LESHWAR),21.494440805671715,86.90631116399229,26.167647058823533,2.379794801641587,5.3767715458276335,75.57729822161423,16.164589603283176,22.394145006839945,30.792216142270863,100.31981532147744
BALL>RI,15.110053407761995,76.53266306091608,25.56266757865937,3.2035978112175103,2.2406908344733245,66.48018467852258,18.953214774281804,20.567400820793434,31.546607387140902,94.30870041039672
BALLIA,25.876253967667974,84.10261402125755,25.762387140902874,2.0435088919288646,2.7672093023255817,60.53537619699043,16.26919972640219,20.26887824897401,32.077181942544456,100.05986320109439
B>LOD,20.74164085673947,81.18837199646794,24.952783857729138,1.9525102599179207,4.343009575923392,67.26603283173735,17.7193365253078,20.00889876880985,30.5796853625171,96.31495896032831
BALODA B>Z>R,21.582031351755393,82.32751183311885,25.24512995896033,1.7624897400820796,4.40858413132695,66.35874829001368,17.496367989056086,19.745697674418604,30.9812585499316,97.53911764705883
BALR>MPUR,23.592677839103807,83.5012410466836,23.037058823529414,1.8129822161422708,3.5102667578659372,63.43320793433653,16.86781121751026,18.11796853625171,29.00948016415869,93.39129958960328
BALRAMPUR,27.483684548840962,82.37522859524846,25.083659370725034,1.9664911080711356,3.572017783857729,60.230820793433644,17.0337756497948,20.00499316005472,31.236559507523943,98.76677838577291
BANAS K>NTHA,24.28730869128735,72.0238403212178,27.096833105335158,2.459863201094391,2.139001367989056,49.713652530779754,19.216025991792065,20.824466484268125,34.18969220246238,99.72170998632012
BANDA,25.470939447659543,80.55739647285655,26.023331053351573,1.8632421340629275,2.534151846785225,55.89228454172367,16.882264021887828,20.21854993160055,32.39990424076607,99.40765389876883
B>NSW>RA,23.476390447149818,74.36198714137477,25.960396716826263,2.4309849521203835,2.67843365253078,55.778296853625164,18.419021887824897,19.957462380300957,32.8644049247606,97.68138166894664
BARABANKI,26.939037355055223,81.33241724006601,25.226313269493847,1.9460875512995899,3.004897400820793,58.486402188782485,16.573830369357044,19.639322845417237,31.662920656634743,99.43907660738714
BARAGARH,21.219614221220667,83.34914104539851,25.684028727770176,1.7046511627906975,3.7836662106703143,65.83118331053352,17.288057455540354,20.231463748290015,31.482701778385778,97.87529411764706
B>R>N,24.995630097265927,76.74783475519848,25.60019835841313,2.1460875512995896,2.357804377564979,53.8048974008208,18.25994528043776,19.45439808481532,32.55861833105335,96.75236662106704
BAREILLY,28.457975533566675,79.43140250105735,24.78419972640219,1.8495075239398084,2.8683310533515733,57.34114227086183,16.471190150478794,19.107995896032833,31.502886456908346,98.69697674418606
B>RMER,25.734986467964156,71.4747946485257,27.37647742818058,3.028187414500684,1.2346306429548561,43.8243023255814,20.017900136798904,20.882393980848153,34.370642954856365,99.09703146374828
BARWANI,21.788217097601024,75.02087902847813,25.999466484268126,2.4898905608755126,2.488248974008208,57.592886456908346,18.045656634746923,19.94348837209302,32.94519151846785,97.0505198358413
BASTAR,19.09583482765825,81.86780365748368,24.442551299589606,1.8270041039671683,4.127701778385774,70.58258549931601,17.39419972640219,19.534781121751024,30.272982216142275,95.05697674418604
BASTI,26.820037729764636,82.62570861002486,25.166627906976746,2.038419972640219,3.2043707250341997,61.099117647058826,16.08766073871409,19.721641586867303,31.552948016415872,99.69840629274967
BELAG>VI,16.12063277514867,74.8230784768437,25.116203830369358,2.867462380300957,2.7300341997264024,66.38041039671683,18.1865389876881,19.888324213406296,31.567667578659368,93.76131326949383
BEMET>RA,21.660879160386145,81.46986909535305,25.44021203830369,1.7016963064295487,4.3375034199726406,63.55781805745554,17.64549247606019,19.842298221614225,31.70528727770178,97.06626538987689
BENGAL@RU RURAL,13.227243977086848,77.57407949191517,23.57173734610123,2.7026744186046514,3.0942270861833108,71.79270861833105,19.16952120383037,18.60353625170999,29.749254445964436,91.66034199726401
BENGAL@RU URBAN,12.951773492321841,77.59370913192022,23.57173734610123,2.7026744186046514,3.0942270861833108,71.79270861833105,18.937647058823526,18.60353625170999,29.749254445964436,91.66034199726401
BETUL,21.878491347106735,77.87124229956164,24.493775649794802,2.193331053351573,3.801320109439125,59.44034883720931,17.694904240766075,19.030095759233927,30.837927496580026,94.01235294117647
BHADOHI,25.347932900977472,82.46412765275768,25.924849521203825,1.9217031463748289,2.5442476060191517,57.7600341997264,16.46469904240766,20.211463748290015,32.49315321477429,99.79138166894664
BHADRAK,20.983044284503634,86.62501827717155,26.57214090287278,2.9636320109439125,5.940957592339261,77.39113543091655,16.84282489740082,23.815328317373464,29.934459644322846,100.70069083447332
BHARATPUR,27.24776488024125,77.27653794799242,25.954124487004105,1.891326949384405,1.9457113543091655,49.95120383036936,17.14264705882353,19.783365253077974,32.97288645690835,98.52699042407662
BH|LW>RA,25.481643672218322,74.7266768603143,25.479630642954856,2.1508071135430917,2.2290287277701775,51.51250341997264,18.972551299589604,19.329623803009575,32.61419972640219,96.48941176470589
BHIND,26.42187926213164,78.72124515434137,26.135800273597813,1.869480164158687,2.131641586867305,51.371935704514364,17.388023255813955,20.05485636114911,32.87805745554036,99.05586183310533
BHOPAL,23.470158908446386,77.39075707068679,24.79001367989056,2.244856361149111,3.482982216142271,58.57829001367988,18.043310533515733,18.948974008207934,31.400998632010946,95.50682626538989
B|DAR,17.952944233515453,77.22506427489623,25.783454172366625,2.4117783857729136,3.034076607387141,62.67481532147743,18.253207934336526,20.439316005471955,31.970102599179206,94.74009575923392
B|J>PUR,18.86086718774786,80.80055446333289,26.407927496580026,1.0341176470588236,4.421990424076608,65.39248974008207,17.626675786593708,20.939151846785226,32.8824829001368,97.40162106703146
BIJNOR,29.38620740830887,78.38885280876111,24.342400820793433,1.7718057455540357,2.969008207934336,57.17294117647059,17.775095759233924,18.970389876880986,30.893720930232554,97.68944596443227
B|K>NER,28.17720918902827,73.17457216938892,26.949015047879616,2.444575923392613,1.039015047879617,39.73701778385772,19.510861833105334,20.683105335157318,33.71467168262654,98.1558413132695
BIL>SPUR,31.370996878021195,76.67021767389473,18.377428180574555,1.5420041039671686,3.9232489740082075,60.14844049247606,18.005984952120382,14.086771545827634,23.755136798905607,87.23764021887824
GAURELA-PENDRA-MARWAHI,22.804965485897377,81.99885411511806,23.530006839945283,1.7396922024623804,3.78422024623803,62.60049247606019,17.26556771545828,18.194158686730507,29.840458276333788,94.03935704514365
